id;these;erklaerung;partei_a;partei_b;partei_c;partei_d;erklaerung_a;erklaerung_b;erklaerung_c;erklaerung_d
1;Der Mindestlohn sollte auf 15 Euro erhöht werden.;Der aktuelle Mindestlohn beträgt 12,82 Euro. Eine Erhöhung könnte Arbeitnehmer entlasten, aber auch Arbeitsplätze gefährden.;1;-1;0;1;Wir setzen uns für faire Löhne ein, die zum Leben reichen.;Höhere Mindestlöhne gefährden Arbeitsplätze im Mittelstand.;Der Markt sollte Löhne regulieren, nicht der Staat.;Arbeit muss sich wieder lohnen - 15 Euro sind ein guter Anfang.
2;Deutschland sollte mehr Geld in erneuerbare Energien investieren.;Die Energiewende erfordert massive Investitionen in Solar, Wind und Speichertechnologien.;1;0;-1;1;Klimaschutz ist die wichtigste Aufgabe unserer Zeit.;Wir unterstützen einen technologieoffenen Ansatz.;Fossile Energien sind weiterhin unverzichtbar für die Wirtschaft.;Die Energiewende muss sozial gerecht gestaltet werden.
3;Die Vermögenssteuer sollte wieder eingeführt werden.;Eine Vermögenssteuer würde hohe Privatvermögen besteuern und könnte zu Mehreinnahmen führen.;1;-1;-1;1;Starke Schultern müssen mehr tragen.;Vermögenssteuern vertreiben Investoren und Arbeitsplätze.;Eigentum muss geschützt, nicht bestraft werden.;Extreme Ungleichheit gefährdet unsere Demokratie.
4;Das Tempolimit auf Autobahnen sollte eingeführt werden.;Ein generelles Tempolimit könnte CO2-Emissionen reduzieren und die Verkehrssicherheit erhöhen.;1;-1;-1;0;Weniger Unfälle, weniger Emissionen - was spricht dagegen?;Freie Fahrt für freie Bürger!;Deutsche Autobahnen sind auch ohne Limit sicher.;Wir priorisieren den Ausbau des öffentlichen Nahverkehrs.
5;Cannabis sollte vollständig legalisiert werden.;Die Legalisierung könnte den Schwarzmarkt bekämpfen und Steuereinnahmen generieren.;1;0;-1;1;Prohibition ist gescheitert, Regulierung ist besser.;Wir sind für eine kontrollierte Freigabe zu medizinischen Zwecken.;Drogen bleiben Drogen und gehören verboten.;Legalisierung mit starkem Jugendschutz ist der richtige Weg.
6;Die Bundeswehr sollte besser ausgestattet werden.;Nach Jahren der Unterfinanzierung gibt es Diskussionen über höhere Verteidigungsausgaben.;0;1;1;-1;Diplomatie sollte Vorrang vor Aufrüstung haben.;Sicherheit ist eine Kernaufgabe des Staates.;Eine starke Armee schützt unsere Freiheit.;Wir brauchen Abrüstung, keine Aufrüstung.
7;Mieten in Großstädten sollten stärker reguliert werden.;Steigende Mieten belasten viele Haushalte. Mietpreisbremsen sind umstritten.;1;-1;-1;1;Wohnen ist ein Grundrecht, keine Ware.;Regulierung verhindert Neubau und verschärft die Wohnungsnot.;Der Markt regelt Angebot und Nachfrage am besten.;Wir fordern einen bundesweiten Mietendeckel.
8;Das Renteneintrittsalter sollte angehoben werden.;Die Bevölkerung altert, weniger Beitragszahler müssen mehr Rentner finanzieren.;-1;1;1;-1;Menschen haben ein Recht auf einen würdigen Ruhestand.;Längere Lebensarbeitszeit ist demografisch notwendig.;Wer länger lebt, kann auch länger arbeiten.;Abschlagsfreie Rente nach 40 Beitragsjahren!
9;Geflüchtete sollten schneller Zugang zum Arbeitsmarkt erhalten.;Schnellere Integration in den Arbeitsmarkt könnte sowohl Geflüchteten als auch der Wirtschaft helfen.;1;0;-1;1;Integration gelingt am besten durch Arbeit.;Wir prüfen jeden Einzelfall sorgfältig.;Erst muss der Aufenthaltsstatus geklärt sein.;Arbeit ist der Schlüssel zur Integration.
10;Unternehmen sollten verpflichtet werden, Frauen in Führungspositionen zu fördern.;Quotenregelungen sollen die Gleichstellung in der Wirtschaft beschleunigen.;1;0;-1;1;Gleichstellung muss aktiv gefördert werden.;Wir setzen auf freiwillige Selbstverpflichtungen.;Qualifikation zählt, nicht das Geschlecht.;Verbindliche Quoten sind längst überfällig.
